Poster_Link,Series_Title,Released_Year,Certificate,Runtime,Genre,IMDB_Rating,Overview,Meta_score,Director,Star1,Star2,Star3,Star4,No_of_Votes,Gross
"https://m.media-amazon.com/images/M/MV5BMmExNzU2ZWMtYzUwYi00YmM2LTkxZTQtNmVhNjY0NTMyMWI2XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX67_CR0,0,67,98_AL_.jpg",capharna m,2018,a,126 min,drama,8.4,while serv a five year sentenc for a violent crime a 12 year old boy sue hi parent for neglect,0.0,nadin labaki,zain al rafeea,yordano shiferaw,boluwatif treasur bankol,kawsar al haddad,0.0,1 661 096
"https://m.media-amazon.com/images/M/MV5BNWJhMDlmZGUtYzcxNS00NDRiLWIwNjktNDY1Mjg3ZjBkYzY0XkEyXkFqcGdeQXVyMTU4MjUwMjI@._V1_UY98_CR2,0,67,98_AL_.jpg",ayla the daughter of war,2017,Unknown,125 min,biographi drama histori,8.4,in 1950 amid st the ravag of the korean war sergeant s leyman stumbl upon a half frozen littl girl with no parent and no help in sight frantic scare and on the verg of death see full summari,0.0,can ulkay,erdem can,etin tekindor,ismail hacioglu,kyung jin lee,0.0,Unknown
"https://m.media-amazon.com/images/M/MV5BY2FiMTFmMzMtZDI2ZC00NDQyLWExYTUtOWNmZWM1ZDg5YjVjXkEyXkFqcGdeQXVyODIwMDI1NjM@._V1_UX67_CR0,0,67,98_AL_.jpg",vikram vedha,2017,ua,147 min,action crime drama,8.4,vikram a no nonsens polic offic accompani by simon hi partner is on the hunt to captur vedha a smuggler and a murder vedha tri to chang vikram s life which lead to a conflict,0.0,gayatri,pushkar,madhavan,vijay sethupathi,shraddha srinath,0.0,Unknown
"https://m.media-amazon.com/images/M/MV5BODRmZDVmNzUtZDA4ZC00NjhkLWI2M2UtN2M0ZDIzNDcxYThjL2ltYWdlXkEyXkFqcGdeQXVyNTk0MzMzODA@._V1_UX67_CR0,0,67,98_AL_.jpg",kimi no na wa,2016,u,106 min,anim drama fantasi,8.4,two stranger find themselv link in a bizarr way when a connect form will distanc be the onli thing to keep them apart,0.0,makoto shinkai,ry nosuk kamiki,mone kamishiraishi,ry narita,aoi y ki,0.0,5 017 246
"https://m.media-amazon.com/images/M/MV5BMTQ4MzQzMzM2Nl5BMl5BanBnXkFtZTgwMTQ1NzU3MDI@._V1_UY98_CR1,0,67,98_AL_.jpg",dangal,2016,u,161 min,action biographi drama,8.4,former wrestler mahavir singh phogat and hi two wrestler daughter struggl toward glori at the commonwealth game in the face of societ oppress,0.0,nitesh tiwari,aamir khan,sakshi tanwar,fatima sana shaikh,sanya malhotra,0.0,12 391 761
"https://m.media-amazon.com/images/M/MV5BMjMwNDkxMTgzOF5BMl5BanBnXkFtZTgwNTkwNTQ3NjM@._V1_UX67_CR0,0,67,98_AL_.jpg",spider man into the spider vers,2018,u,117 min,anim action adventur,8.4,teen mile moral becom the spider man of hi univers and must join with five spider power individu from other dimens to stop a threat for all realiti,0.0,bob persichetti,peter ramsey,rodney rothman,shameik moor,jake johnson,0.0,190 241 310
"https://m.media-amazon.com/images/M/MV5BMTc5MDE2ODcwNV5BMl5BanBnXkFtZTgwMzI2NzQ2NzM@._V1_UX67_CR0,0,67,98_AL_.jpg",aveng endgam,2019,ua,181 min,action adventur drama,8.4,after the devast event of aveng infin war 2018 the univers is in ruin with the help of remain alli the aveng assembl onc more in order to revers thano action and restor balanc to the univers,0.0,anthoni russo,joe russo,robert downey jr,chri evan,mark ruffalo,0.0,858 373 000
"https://m.media-amazon.com/images/M/MV5BMjMxNjY2MDU1OV5BMl5BanBnXkFtZTgwNzY1MTUwNTM@._V1_UX67_CR0,0,67,98_AL_.jpg",aveng infin war,2018,ua,149 min,action adventur sci fi,8.4,the aveng and their alli must be will to sacrific all in an attempt to defeat the power thano befor hi blitz of devast and ruin put an end to the univers,0.0,anthoni russo,joe russo,robert downey jr,chri hemsworth,mark ruffalo,0.0,678 815 482
"https://m.media-amazon.com/images/M/MV5BYjQ5NjM0Y2YtNjZkNC00ZDhkLWJjMWItN2QyNzFkMDE3ZjAxXkEyXkFqcGdeQXVyODIxMzk5NjA@._V1_UY98_CR1,0,67,98_AL_.jpg",coco,2017,u,105 min,anim adventur famili,8.4,aspir musician miguel confront with hi famili s ancestr ban on music enter the land of the dead to find hi great great grandfath a legendari singer,0.0,lee unkrich,adrian molina,anthoni gonzalez,gael garc a bernal,benjamin bratt,0.0,209 726 015
"https://m.media-amazon.com/images/M/MV5BMjIyNTQ5NjQ1OV5BMl5BanBnXkFtZTcwODg1MDU4OA@@._V1_UX67_CR0,0,67,98_AL_.jpg",django unchain,2012,a,165 min,drama western,8.4,with the help of a german bounti hunter a freed slave set out to rescu hi wife from a brutal mississippi plantat owner,0.0,quentin tarantino,jami foxx,christoph waltz,leonardo dicaprio,kerri washington,0.0,162 805 434
"https://m.media-amazon.com/images/M/MV5BMTk4ODQzNDY3Ml5BMl5BanBnXkFtZTcwODA0NTM4Nw@@._V1_UX67_CR0,0,67,98_AL_.jpg",the dark knight rise,2012,ua,164 min,action adventur,8.4,eight year after the joker s reign of anarchi batman with the help of the enigmat catwoman is forc from hi exil to save gotham citi from the brutal guerrilla terrorist bane,0.0,christoph nolan,christian bale,tom hardi,ann hathaway,gari oldman,0.0,448 139 099
"https://m.media-amazon.com/images/M/MV5BNTkyOGVjMGEtNmQzZi00NzFlLTlhOWQtODYyMDc2ZGJmYzFhXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UY98_CR0,0,67,98_AL_.jpg",3 idiot,2009,ua,170 min,comedi drama,8.4,two friend are search for their long lost companion they revisit their colleg day and recal the memori of their friend who inspir them to think differ even as the rest of the world call them idiot,0.0,rajkumar hirani,aamir khan,madhavan,mona singh,sharman joshi,0.0,6 532 908
"https://m.media-amazon.com/images/M/MV5BMDhjZWViN2MtNzgxOS00NmI4LThiZDQtZDI3MzM4MDE4NTc0XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UY98_CR1,0,67,98_AL_.jpg",taar zameen par,2007,u,165 min,drama famili,8.4,an eight year old boy is thought to be a lazi troubl maker until the new art teacher ha the patienc and compass to discov the real problem behind hi struggl in school,0.0,aamir khan,amol gupt,darsheel safari,aamir khan,tisca chopra,0.0,1 223 869
"https://m.media-amazon.com/images/M/MV5BMjExMTg5OTU0NF5BMl5BanBnXkFtZTcwMjMxMzMzMw@@._V1_UX67_CR0,0,67,98_AL_.jpg",wall e,2008,u,98 min,anim adventur famili,8.4,in the distant futur a small wast collect robot inadvert embark on a space journey that will ultim decid the fate of mankind,0.0,andrew stanton,ben burtt,elissa knight,jeff garlin,fred willard,0.0,223 808 164
"https://m.media-amazon.com/images/M/MV5BOThkM2EzYmMtNDE3NS00NjlhLTg4YzktYTdhNzgyOWY3ZDYzXkEyXkFqcGdeQXVyNzQzNzQxNzI@._V1_UY98_CR1,0,67,98_AL_.jpg",the live of other,2006,a,137 min,drama mysteri thriller,8.4,in 1984 east berlin an agent of the secret polic conduct surveil on a writer and hi lover find himself becom increasingli absorb by their live,0.0,florian henckel von donnersmarck,ulrich m he,martina gedeck,sebastian koch,ulrich tukur,0.0,11 286 112
"https://m.media-amazon.com/images/M/MV5BMTI3NTQyMzU5M15BMl5BanBnXkFtZTcwMTM2MjgyMQ@@._V1_UX67_CR0,0,67,98_AL_.jpg",oldeuboi,2003,a,101 min,action drama mysteri,8.4,after be kidnap and imprison for fifteen year oh dae su is releas onli to find that he must find hi captor in five day,0.0,chan wook park,choi min sik,yoo ji tae,kang hye jeong,kim byeong ok,0.0,707 481
"https://m.media-amazon.com/images/M/MV5BZTcyNjk1MjgtOWI3Mi00YzQwLWI5MTktMzY4ZmI2NDAyNzYzXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX67_CR0,0,67,98_AL_.jpg",memento,2000,ua,113 min,mysteri thriller,8.4,a man with short term memori loss attempt to track down hi wife s murder,0.0,christoph nolan,guy pearc,carri ann moss,joe pantoliano,mark boon junior,0.0,25 544 867
"https://m.media-amazon.com/images/M/MV5BNGIzY2IzODQtNThmMi00ZDE4LWI5YzAtNzNlZTM1ZjYyYjUyXkEyXkFqcGdeQXVyODEzNjM5OTQ@._V1_UX67_CR0,0,67,98_AL_.jpg",mononok hime,1997,u,134 min,anim action adventur,8.4,on a journey to find the cure for a tatarigami s curs ashitaka find himself in the middl of a war between the forest god and tatara a mine coloni in thi quest he also meet san the mononok hime,0.0,hayao miyazaki,y ji matsuda,yuriko ishida,y ko tanaka,billi crudup,0.0,2 375 308
